Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,BedroomAbvGr,TotRmsAbvGrd,SalePrice
1299,313,63887,10,5,2008,3,12,160000
1300,75,7500,5,7,1959,3,6,154000
1301,NA,10762,7,5,1999,3,9,225000
1302,NA,7500,6,7,1942,3,7,177500
1303,92,10120,8,5,1994,4,8,290000
1304,73,8688,7,5,2005,3,7,232000
1305,32,3363,7,5,2004,3,7,130000
1306,108,13173,9,5,2006,2,6,325000
1307,48,6955,7,5,2005,2,6,202500
1308,60,8072,5,5,1994,3,5,138000
1309,100,12000,5,7,1948,2,6,147000
1310,NA,7153,6,5,1991,3,6,179200
1311,100,17500,7,8,1959,3,7,335000
1312,68,8814,7,5,2005,3,6,203000
1313,NA,9572,8,5,1990,4,9,302000
1314,108,14774,9,5,1999,4,10,333168
1315,60,8190,4,6,1954,3,5,119000
1316,85,11075,6,5,1969,4,9,206900
1317,61,10226,8,5,2008,3,8,295493
1318,47,4230,7,5,2006,2,5,208900
1319,NA,14781,8,5,2001,3,7,275000
1320,75,10215,4,5,1954,3,5,111000
1321,70,8400,6,3,1957,3,6,156500
1322,NA,6627,3,6,1949,2,4,72500
1323,107,10186,7,5,1992,3,8,190000
1324,50,5330,4,7,1940,2,5,82500
1325,75,9986,8,5,2006,2,7,147000
1326,40,3636,4,4,1922,2,5,55000
1327,70,4270,3,6,1931,3,6,79000
1328,60,6600,5,9,1982,3,5,130500
1329,60,10440,6,7,1920,5,8,256000
1330,63,9084,7,5,1998,3,8,176500
1331,85,10000,8,5,2006,3,7,227000
1332,55,10780,5,5,1976,3,6,132500
1333,67,8877,4,6,1938,2,3,100000
1334,60,7200,5,6,1938,2,6,125500
1335,24,2368,5,6,1970,3,7,125000
1336,80,9650,6,5,1977,2,6,167900
1337,87,9246,5,5,1973,4,8,135000
1338,153,4118,4,4,1941,2,4,52500
1339,95,13450,7,5,2002,3,8,200000
1340,120,9560,5,7,1972,3,5,128500
1341,70,8294,4,5,1971,3,5,123000
1342,66,13695,6,5,2003,3,6,155000
1343,NA,9375,8,5,2002,3,7,228500
1344,57,7558,6,6,1928,3,9,177000
1345,85,11103,7,5,2006,3,8,155835
1346,50,6000,4,4,1920,2,5,108500
1347,NA,20781,7,7,1968,3,9,262500
1348,93,15306,8,5,2006,3,7,283463
1349,NA,16196,7,5,1998,3,5,215000
1350,50,5250,8,5,1872,4,8,122000
1351,91,11643,5,5,1969,6,12,200000
1352,70,9247,6,6,1962,4,8,171000
1353,50,6000,6,9,1937,2,4,134900
1354,56,14720,8,5,1995,4,9,410000
1355,NA,10316,7,5,2000,3,7,235000
1356,102,10192,7,6,1968,4,8,170000
1357,NA,9477,5,5,1966,3,5,110000
1358,NA,12537,5,6,1971,3,6,149900
1359,NA,2117,6,5,2000,3,5,177500
1360,129,16737,9,5,2004,3,8,315000
1361,51,9842,5,6,1921,4,8,189000
1362,124,16158,7,5,2005,3,7,260000
1363,NA,12513,4,4,1920,4,7,104900
1364,73,8499,6,5,2006,3,6,156932
1365,30,3180,7,5,2005,2,4,144152
1366,NA,7500,7,5,2000,3,7,216000
1367,68,9179,7,5,1999,3,7,193000
1368,41,2665,5,6,1977,4,6,127000
1369,NA,4435,6,5,2003,1,4,144000
1370,48,10635,8,5,2003,3,8,232000
1371,90,5400,4,6,1920,2,6,105000
1372,80,9600,6,6,1955,3,8,165500
1373,75,9750,7,6,1998,3,8,274300
1374,NA,11400,10,5,2001,2,8,466500
1375,85,10625,7,5,2005,3,9,250000
1376,89,10991,8,5,2007,3,7,239000
1377,52,6292,6,5,1930,2,4,91000
1378,60,10998,5,5,1941,3,6,117000
1379,21,1953,6,5,1973,2,5,83000
1380,73,9735,5,5,2006,3,7,167500
1381,45,8212,3,3,1914,2,5,58500
1382,NA,12925,6,7,1970,4,7,237500
1383,60,7200,7,7,1920,4,8,157000
1384,NA,25339,5,7,1918,3,7,112000
1385,60,9060,6,5,1939,2,6,105000
1386,40,5436,4,8,1922,3,7,125500
1387,80,16692,7,5,1978,5,12,250000
1388,60,8520,6,7,1916,5,10,136000
1389,42,14892,9,5,2006,3,7,377500
1390,60,6000,6,6,1941,3,6,131000
1391,70,9100,7,5,2000,3,6,235000
1392,65,8944,5,5,1967,4,8,124000
1393,68,7838,5,5,1967,3,6,123000
1394,60,10800,6,7,1905,3,7,163000
1395,53,4045,7,5,2006,2,6,246578
1396,88,12665,8,5,2005,4,9,281213
1397,NA,57200,5,5,1948,3,7,160000
1398,51,6120,5,8,1920,4,8,137500
1399,60,7200,5,4,1950,3,7,138000
1400,51,6171,6,6,1925,3,7,137450
1401,50,6000,6,7,1929,3,5,120000
1402,62,7415,6,5,2004,3,8,193000
1403,64,6762,7,5,2006,2,6,193879
1404,49,15256,8,5,2007,3,6,282922
1405,60,10410,3,4,1915,3,6,105000
1406,44,3842,8,5,2004,2,5,275000
1407,70,8445,5,7,1972,2,5,133000
1408,NA,8780,5,5,1985,3,5,112000
1409,60,7740,4,7,1910,3,6,125500
1410,46,20544,7,6,1986,3,7,215000
1411,79,12420,7,5,2001,3,6,230000
1412,80,9600,6,8,1950,3,6,140000
1413,60,7200,4,5,1949,2,6,90000
1414,88,10994,8,5,2005,2,7,257000
1415,64,13053,6,7,1923,4,8,207000
1416,51,3635,7,5,2007,1,7,175900
1417,60,11340,4,6,1885,4,11,122500
1418,NA,16545,8,5,1998,3,7,340000
1419,71,9204,5,5,1963,3,6,124000
1420,NA,16381,6,5,1969,3,7,223000
1421,90,11700,6,6,1968,3,7,179900
1422,53,4043,6,5,1977,2,4,127500
1423,37,4435,6,5,2003,1,3,136500
1424,NA,19690,6,7,1966,4,8,274970
1425,NA,9503,5,5,1958,2,6,144000
1426,80,10721,6,6,1959,3,7,142000
1427,81,10944,7,5,1994,3,5,271000
1428,60,10930,5,6,1945,3,6,140000
1429,60,7200,5,7,1940,2,4,119000
1430,NA,12546,6,7,1981,3,7,182900
1431,60,21930,5,5,2005,4,7,192140
1432,NA,4928,6,6,1976,2,5,143750
1433,60,10800,4,6,1927,4,5,64500
1434,93,10261,6,5,2000,3,8,186500
1435,80,17400,5,5,1977,3,5,160000
1436,80,8400,6,9,1962,3,7,174000
1437,60,9000,4,6,1971,3,5,120500
1438,96,12444,8,5,2008,2,7,394617
1439,90,7407,6,7,1957,2,6,149700
1440,80,11584,7,6,1979,3,6,197000
1441,79,11526,6,7,1922,3,11,191000
1442,NA,4426,6,5,2004,1,3,149300
1443,85,11003,10,5,2008,3,10,310000
1444,NA,8854,6,6,1916,2,4,121000
1445,63,8500,7,5,2004,3,7,179600
1446,70,8400,6,5,1966,3,6,129000
1447,NA,26142,5,7,1962,3,6,157900
1448,80,10000,8,5,1995,3,8,240000
1449,70,11767,4,7,1910,2,6,112000
1450,21,1533,5,7,1970,1,3,92000
1451,60,9000,5,5,1974,4,8,136000
1452,78,9262,8,5,2008,3,7,287090
1453,35,3675,5,5,2005,2,5,145000
1454,90,17217,5,5,2006,3,6,84500
1455,62,7500,7,5,2004,2,6,185000
1456,62,7917,6,5,1999,3,7,175000
1457,85,13175,6,6,1978,3,7,210000
1458,66,9042,7,9,1941,4,9,266500
1459,68,9717,5,6,1950,2,5,142125
1460,75,9937,5,6,1965,3,6,147500
